PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
FIIP11	Híbrido	133,68	13,33%	12,69%	0,67	123.943.000	650.261	7	1.779,97	264,05	14,83%	0,00%	""
FISC11	Lajes Corporativas	64,99	6,53%	7,52%	0,57	110.483.000	7.286	4	8.764,83	803,96	9,17%	0,00%	""
FISD11	Títulos e Val. Mob.	203,32	-21,06%	0,00%	3,41	218.079.000	0	1	0,00	0,00	0,00%	0,00%	""
FIXX11	Títulos e Val. Mob.	85,78	7,01%	0,00%	1,48	321.608.000	0	0	0,00	0,00	0,00%	0,00%	""
FLCR11	Títulos e Val. Mob.	96,10	17,37%	14,49%	1,03	60.889.300	81.882	0	0,00	0,00	0,00%	0,00%	""
FLFL11	Híbrido	100,00	0,94%	0,96%	0,70	345.426.000	0	1	30.136,70	2.396,21	7,95%	12,50%	""
FLMA11	Híbrido	129,80	9,37%	9,62%	0,59	179.211.000	62.871	2	15.505,70	1.830,75	11,81%	0,00%	""
FLRP11	Shoppings	1.853,00	8,34%	8,67%	0,91	134.342.000	20.690	1	2.626,71	238,08	9,06%	1,05%	""
FMOF11	Lajes Corporativas	36,03	3,65%	4,73%	0,31	18.303.500	1.537	2	1.085,96	166,39	15,32%	17,23%	""
FPAB11	Lajes Corporativas	185,00	6,01%	6,24%	0,52	138.750.000	5.383	2	3.812,27	362,02	9,50%	26,10%	""
FPNG11	Lajes Corporativas	327,00	1,08%	0,29%	1,90	854.110.000	268	8	60.663,30	1.166,49	1,92%	0,97%	""
FRBR11	Títulos e Val. Mob.	103,71	8,87%	0,00%	1,11	1.324.330.000	0	0	0,00	0,00	0,00%	0,00%	""
FTCE11	Híbrido	2.834,82	-0,59%	5,01%	1,01	3.376.560.000	0	79	1.827,73	45,81	2,51%	0,01%	""
